ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente
49;45215;Mouse Gamer Razer DeathAdder Essential;Acessórios;5;1437;7185;0,05;6825,75;Nordeste;Online;Cancelado;RN;847,83;4239,15;2586,6;0,378947368;19;Masculino;18-29;54;0;Correios;Cartão de Crédito;3
55;45154;Motorola Moto G34;Celulares;8;3821;30568;0,15;25982,8;Nordeste;Marketplace;Cancelado;PB;2636,49;21091,92;4890,88;0,188235294;79;Não Informado;50+;36;0;TransFrete;Voucher;5
59;45741;Console Xbox Series X 1TB;Eletrodomésticos & TV;1;3801;3801;0,15;3230,85;Nordeste;Online;Cancelado;MA;1710,45;1710,45;1520,4;0,470588235;93;Masculino;50+;79;0;TransFrete;PIX;4
67;43020;Notebook Lenovo ThinkPad E14;Computadores;5;2957;14785;0;14785;Nordeste;Marketplace;Cancelado;CE;1655,92;8279,6;6505,4;0,44;40;Feminino;30-49;132;0;Correios;Cartão de Crédito;2
69;45218;Notebook Lenovo IdeaPad 3i;Computadores;1;4824;4824;0,15;4100,4;Norte;Marketplace;Cancelado;AM;2219,04;2219,04;1881,36;0,458823529;27;Masculino;18-29;132;0;Correios;Cartão de Crédito;2
79;45009;Mouse Sem Fio Logitech M280;Acessórios;6;4557;27342;0;27342;Centro-Oeste;Online;Cancelado;GO;3098,76;18592,56;8749,44;0,32;68;Não Informado;50+;165;0;Correios;Cartão de Crédito;5
84;43041;Nothing Phone (2a);Celulares;1;2401;2401;0,1;2160,9;Norte;Online;Cancelado;AP;1584,66;1584,66;576,24;0,266666667;63;Não Informado;50+;114;0;LogTech Express;Cartão de Crédito;2
93;44399;iPhone 15 Plus;Celulares;2;1424;2848;0,05;2705,6;Centro-Oeste;Loja Física;Cancelado;DF;712;1424;1281,6;0,473684211;62;Feminino;50+;90;0;LogTech Express;PIX;1
96;43753;Memoria RAM Corsair Vengeance 16GB;Computadores;4;3351;13404;0,15;11393,4;Sul;Marketplace;Cancelado;RS;2211,66;8846,64;2546,76;0,223529412;37;Feminino;30-49;120;0;LogTech Express;Cartão de Crédito;3
97;43441;Panela de Pressao Eletrica Mondial 5L;Eletrodomésticos & TV;4;3325;13300;0;13300;Nordeste;Marketplace;Cancelado;MA;2028,25;8113;5187;0,39;18;Feminino;18-29;172;0;TransFrete;PIX;4
100;43512;Panela de Pressao Eletrica Mondial 5L;Eletrodomésticos & TV;9;889;8001;0,1;7200,9;Sudeste;Online;Cancelado;SP;506,73;4560,57;2640,33;0,366666667;71;Não Informado;50+;29;0;LogTech Express;PIX;2
103;45399;Caixa de Som Bluetooth LG XBOOM Go;Eletrodomésticos & TV;4;2574;10296;0,15;8751,6;Sul;Loja Física;Cancelado;PR;1338,48;5353,92;3397,68;0,388235294;54;Masculino;50+;46;0;Correios;PIX;4
107;43134;Smart TV AOC Roku 43;Eletrodomésticos & TV;1;3498;3498;0,15;2973,3;Sul;Marketplace;Cancelado;RS;2063,82;2063,82;909,48;0,305882353;77;Feminino;50+;170;0;TransFrete;Voucher;1
110;45878;Samsung Galaxy Buds FE;Acessórios;6;1109;6654;0,1;5988,6;Norte;Online;Cancelado;AC;487,96;2927,76;3060,84;0,511111111;31;Masculino;30-49;94;0;LogTech Express;Boleto;5
114;45666;Carregador de Pilhas Sony com 4 Pilhas;Eletrodomésticos & TV;5;4578;22890;0;22890;Centro-Oeste;Loja Física;Cancelado;DF;2655,24;13276,2;9613,8;0,42;19;Masculino;18-29;138;0;Correios;Boleto;4
118;42808;Fone Bluetooth WAAW by Alok;Acessórios;2;698;1396;0,05;1326,2;Sul;Marketplace;Cancelado;SC;321,08;642,16;684,04;0,515789474;70;Masculino;50+;121;0;LogTech Express;Cartão de Crédito;2
122;43855;Controle Xbox Wireless Carbon Black;Eletrodomésticos & TV;4;3182;12728;0,15;10818,8;Norte;Online;Cancelado;TO;1941,02;7764,08;3054,72;0,282352941;76;Feminino;50+;79;0;LogTech Express;Boleto;2
123;43495;Motorola Moto G24;Celulares;4;941;3764;0;3764;Sudeste;Marketplace;Cancelado;MG;470,5;1882;1882;0,5;78;Não Informado;50+;173;0;Correios;Cartão de Crédito;1
131;43408;SSD Kingston NV2 1TB;Computadores;8;4039;32312;0,1;29080,8;Nordeste;Marketplace;Cancelado;AL;2181,06;17448,48;11632,32;0,4;19;Masculino;18-29;138;0;TransFrete;Cartão de Crédito;2
133;43633;iPad Pro M4;Computadores;8;4811;38488;0,05;36563,6;Centro-Oeste;Loja Física;Cancelado;MT;2742,27;21938,16;14625,44;0,4;41;Feminino;30-49;19;0;TransFrete;PIX;3
137;44442;Tablet Lenovo Tab P12;Computadores;7;3916;27412;0,05;26041,4;Norte;Online;Cancelado;PA;2702,04;18914,28;7127,12;0,273684211;77;Masculino;50+;158;0;Correios;Voucher;1
139;44111;Fechadura Digital Intelbras FR 101;Eletrodomésticos & TV;1;4912;4912;0;4912;Nordeste;Marketplace;Cancelado;AL;2996,32;2996,32;1915,68;0,39;26;Masculino;18-29;41;0;LogTech Express;Cartão de Crédito;1
140;43759;SSD Crucial T500 4TB;Computadores;10;2989;29890;0,05;28395,5;Nordeste;Online;Cancelado;PB;1285,27;12852,7;15542,8;0,547368421;66;Feminino;50+;160;0;Correios;Boleto;5
154;45061;Camera de Seguranca TP-Link Tapo C200;Eletrodomésticos & TV;8;3368;26944;0;26944;Nordeste;Online;Cancelado;PB;2189,2;17513,6;9430,4;0,35;93;Feminino;50+;63;0;LogTech Express;Cartão de Crédito;1
156;44884;Headset Gamer Razer BlackShark V2 X;Acessórios;5;2503;12515;0,1;11263,5;Centro-Oeste;Marketplace;Cancelado;MS;1677,01;8385,05;2878,45;0,255555556;37;Masculino;30-49;177;0;Correios;Boleto;3
162;43827;Console Xbox Series X 1TB;Eletrodomésticos & TV;5;728;3640;0,1;3276;Sudeste;Loja Física;Cancelado;SP;487,76;2438,8;837,2;0,255555556;62;Não Informado;50+;34;0;LogTech Express;Cartão de Crédito;4
166;45168;Teclado Mecanico Redragon Kumara;Acessórios;9;3671;33039;0,05;31387,05;Sudeste;Online;Cancelado;SP;2386,15;21475,35;9911,7;0,315789474;65;Não Informado;50+;146;0;Correios;PIX;2
167;43202;Smart TV Samsung Crystal UHD 50;Eletrodomésticos & TV;5;1283;6415;0,15;5452,75;Norte;Marketplace;Cancelado;RO;782,63;3913,15;1539,6;0,282352941;74;Não Informado;50+;140;0;LogTech Express;Boleto;4
170;45187;Smartwatch Xiaomi Redmi Watch 5;Eletrodomésticos & TV;4;861;3444;0,15;2927,4;Sudeste;Loja Física;Cancelado;SP;568,26;2273,04;654,36;0,223529412;47;Feminino;30-49;17;0;LogTech Express;Voucher;5
176;45737;Pilha Recarregavel Duracell AAA;Eletrodomésticos & TV;1;1885;1885;0,15;1602,25;Norte;Online;Cancelado;PA;904,8;904,8;697,45;0,435294118;72;Feminino;50+;16;0;TransFrete;Voucher;1
192;45021;Camera de Acao DJI Osmo Action 4;Eletrodomésticos & TV;5;228;1140;0,15;969;Norte;Loja Física;Cancelado;RO;111,72;558,6;410,4;0,423529412;82;Masculino;50+;130;0;LogTech Express;PIX;3
193;43810;Controle Xbox Wireless Carbon Black;Eletrodomésticos & TV;9;4855;43695;0;43695;Nordeste;Marketplace;Cancelado;RN;3010,1;27090,9;16604,1;0,38;68;Não Informado;50+;91;0;Correios;Cartão de Crédito;4
202;43130;Google Pixel 11 Pro;Celulares;9;4645;41805;0,05;39714,75;Nordeste;Marketplace;Cancelado;RN;2740,55;24664,95;15049,8;0,378947368;88;Masculino;50+;88;0;LogTech Express;PIX;4
206;43028;Samsung Galaxy S26 Ultra;Celulares;5;4720;23600;0;23600;Sudeste;Loja Física;Cancelado;MG;2454,4;12272;11328;0,48;81;Masculino;50+;126;0;Correios;Cartão de Crédito;3
207;45010;Memoria RAM Corsair Vengeance 16GB;Computadores;1;4577;4577;0,05;4348,15;Sul;Loja Física;Cancelado;PR;3158,13;3158,13;1190,02;0,273684211;18;Feminino;18-29;152;0;LogTech Express;Boleto;1
212;45363;Samsung Galaxy S25 FE;Celulares;2;825;1650;0,05;1567,5;Sul;Online;Cancelado;RS;404,25;808,5;759;0,484210526;67;Não Informado;50+;144;0;Correios;Voucher;2
217;44253;iPad 10ª Geracao;Computadores;10;3446;34460;0,05;32737;Norte;Online;Cancelado;RO;1481,78;14817,8;17919,2;0,547368421;61;Não Informado;50+;133;0;TransFrete;PIX;3
218;43917;Carregador Sem Fio Anker Magnetic 3-in-1;Acessórios;1;280;280;0,1;252;Centro-Oeste;Loja Física;Cancelado;MS;187,6;187,6;64,4;0,255555556;81;Feminino;50+;116;0;LogTech Express;Cartão de Crédito;4
219;45010;Infinix Note 40 Pro;Celulares;1;1545;1545;0;1545;Norte;Marketplace;Cancelado;TO;988,8;988,8;556,2;0,36;22;Masculino;18-29;65;0;Correios;Cartão de Crédito;3
222;45076;Xiaomi Pad 5;Celulares;2;1621;3242;0,05;3079,9;Centro-Oeste;Loja Física;Cancelado;DF;875,34;1750,68;1329,22;0,431578947;39;Não Informado;30-49;108;0;TransFrete;Voucher;4
224;44597;Teclado Mecanico Redragon Kumara;Acessórios;9;2993;26937;0,15;22896,45;Nordeste;Marketplace;Cancelado;AL;1556,36;14007,24;8889,21;0,388235294;27;Feminino;18-29;107;0;LogTech Express;Voucher;4
234;44417;Carregador Portatil Baseus Power Bank 30000mAh;Acessórios;3;4595;13785;0,05;13095,75;Norte;Loja Física;Cancelado;PA;2159,65;6478,95;6616,8;0,505263158;92;Não Informado;50+;107;0;LogTech Express;PIX;3
237;45554;Mini Projetor Portatil Magcubic HY300;Eletrodomésticos & TV;8;4964;39712;0;39712;Sul;Online;Cancelado;PR;2581,28;20650,24;19061,76;0,48;91;Feminino;50+;19;0;LogTech Express;Voucher;5
241;43424;Placa de Video RTX 4071 Super;Computadores;4;2477;9908;0;9908;Sudeste;Marketplace;Cancelado;MG;1362,35;5449,4;4458,6;0,45;34;Feminino;30-49;81;0;TransFrete;Boleto;3
243;43275;Smart TV Samsung Neo QLED 65;Eletrodomésticos & TV;6;2762;16572;0,15;14086,2;Norte;Online;Cancelado;AP;1160,04;6960,24;7125,96;0,505882353;49;Feminino;30-49;117;0;LogTech Express;Boleto;5
247;44369;Samsung Galaxy A56 5G;Celulares;1;2522;2522;0;2522;Nordeste;Marketplace;Cancelado;CE;1261;1261;1261;0,5;67;Feminino;50+;65;0;TransFrete;Boleto;5
248;44865;Controle PS5 DualSense;Eletrodomésticos & TV;1;2528;2528;0;2528;Sudeste;Marketplace;Cancelado;ES;1061,76;1061,76;1466,24;0,58;93;Feminino;50+;68;0;TransFrete;Cartão de Crédito;2
251;42782;Placa de Video RTX 4070 Super;Computadores;6;4606;27636;0,1;24872,4;Nordeste;Online;Cancelado;SE;2118,76;12712,56;12159,84;0,488888889;58;Masculino;50+;78;0;Correios;Boleto;3
252;44265;Mini PC Beelink SER5;Computadores;2;2347;4694;0;4694;Norte;Online;Cancelado;PA;1150,03;2300,06;2393,94;0,51;57;Feminino;50+;112;0;LogTech Express;Voucher;3
254;45735;Fechadura Digital Yale YRD 256;Eletrodomésticos & TV;9;1862;16758;0;16758;Nordeste;Online;Cancelado;PB;782,04;7038,36;9719,64;0,58;24;Feminino;18-29;122;0;Correios;PIX;3
262;44175;Mini Projetor Portatil Samsung The Freestyle;Eletrodomésticos & TV;4;2758;11032;0,1;9928,8;Norte;Marketplace;Cancelado;PA;1792,7;7170,8;2758;0,277777778;90;Não Informado;50+;118;0;Correios;Cartão de Crédito;1
281;45430;Motorola Moto G34;Celulares;4;1671;6684;0,1;6015,6;Sudeste;Marketplace;Cancelado;MG;768,66;3074,64;2940,96;0,488888889;71;Masculino;50+;168;0;LogTech Express;Voucher;2
282;45028;Base Cooler para Notebook Multilaser;Acessórios;7;3958;27706;0,1;24935,4;Nordeste;Loja Física;Cancelado;AL;1701,94;11913,58;13021,82;0,522222222;91;Não Informado;50+;112;0;LogTech Express;PIX;3
284;45552;Caixa de Som Portatil Anker Soundcore 2;Eletrodomésticos & TV;4;700;2800;0,05;2660;Nordeste;Loja Física;Cancelado;AL;350;1400;1260;0,473684211;33;Feminino;30-49;119;0;TransFrete;PIX;5
287;44843;Robo Aspirador de Po Liectroux XR500;Eletrodomésticos & TV;4;3670;14680;0,1;13212;Nordeste;Loja Física;Cancelado;BA;2348,8;9395,2;3816,8;0,288888889;53;Masculino;50+;119;0;Correios;Boleto;4
296;45374;Controle PS5 DualSense;Eletrodomésticos & TV;1;3145;3145;0,15;2673,25;Norte;Loja Física;Cancelado;RR;1635,4;1635,4;1037,85;0,388235294;41;Não Informado;30-49;81;0;Correios;Cartão de Crédito;5
300;43760;Notebook HP 256 G9;Computadores;7;150;1050;0;1050;Nordeste;Loja Física;Cancelado;RN;64,5;451,5;598,5;0,57;39;Feminino;30-49;109;0;Correios;Voucher;4
312;43538;Honor Magic 6 Pro;Celulares;9;322;2898;0,05;2753,1;Nordeste;Loja Física;Cancelado;PB;222,18;1999,62;753,48;0,273684211;55;Masculino;50+;73;0;LogTech Express;Cartão de Crédito;1
316;45151;Fritadeira Air Fryer Philips Walita Essential;Eletrodomésticos & TV;5;3467;17335;0,05;16468,25;Sul;Marketplace;Cancelado;PR;1941,52;9707,6;6760,65;0,410526316;65;Masculino;50+;152;0;Correios;Voucher;4
319;45383;Mouse Logitech Pebble M350;Acessórios;9;2738;24642;0,1;22177,8;Sudeste;Online;Cancelado;SP;1724,94;15524,46;6653,34;0,3;62;Feminino;50+;76;0;LogTech Express;Boleto;4
329;45587;Soundbar Samsung HW-Q600C;Eletrodomésticos & TV;4;4387;17548;0,05;16670,6;Sul;Marketplace;Cancelado;SC;2368,98;9475,92;7194,68;0,431578947;51;Masculino;50+;170;0;Correios;Voucher;5
334;43596;Fone Edifier W820NB Plus;Acessórios;7;427;2989;0,15;2540,65;Nordeste;Marketplace;Cancelado;PI;294,63;2062,41;478,24;0,188235294;61;Feminino;50+;154;0;Correios;Voucher;4
337;43046;Xiaomi Redmi Note 14 Pro;Celulares;5;1428;7140;0,05;6783;Nordeste;Online;Cancelado;PI;685,44;3427,2;3355,8;0,494736842;18;Feminino;18-29;168;0;LogTech Express;PIX;5
343;43747;Xiaomi POCO X7 Pro;Celulares;8;4414;35312;0,05;33546,4;Norte;Marketplace;Cancelado;TO;1853,88;14831,04;18715,36;0,557894737;59;Masculino;50+;99;0;TransFrete;Cartão de Crédito;5
356;43937;Motorola Moto G54;Celulares;1;526;526;0,15;447,1;Norte;Marketplace;Cancelado;AM;273,52;273,52;173,58;0,388235294;35;Feminino;30-49;76;0;LogTech Express;Voucher;4
358;43233;Headphone Sony WH-1000XM5;Acessórios;2;4687;9374;0,1;8436,6;Sudeste;Online;Cancelado;RJ;2202,89;4405,78;4030,82;0,477777778;43;Não Informado;30-49;105;0;Correios;Boleto;3
359;43883;Fone Bluetooth WAAW by Alok;Acessórios;8;4986;39888;0,1;35899,2;Nordeste;Loja Física;Cancelado;PB;2393,28;19146,24;16752,96;0,466666667;76;Masculino;50+;111;0;Correios;Voucher;3
360;44499;Roku Express HD;Eletrodomésticos & TV;1;2546;2546;0,05;2418,7;Norte;Marketplace;Cancelado;RO;1171,16;1171,16;1247,54;0,515789474;36;Não Informado;30-49;98;0;Correios;PIX;1
361;43784;Motorola Moto G34;Celulares;10;3662;36620;0,15;31127;Centro-Oeste;Marketplace;Cancelado;MS;1904,24;19042,4;12084,6;0,388235294;39;Não Informado;30-49;31;0;LogTech Express;PIX;3
364;45400;Controle Nintendo Switch Pro;Eletrodomésticos & TV;1;1310;1310;0;1310;Sul;Online;Cancelado;RS;615,7;615,7;694,3;0,53;18;Não Informado;18-29;151;0;LogTech Express;Voucher;4
365;44607;Motorola Edge 50 Ultra;Celulares;5;3205;16025;0,15;13621,25;Norte;Marketplace;Cancelado;PA;2083,25;10416,25;3205;0,235294118;53;Feminino;50+;159;0;Correios;Cartão de Crédito;3
368;45858;Console Lenovo Legion Go;Eletrodomésticos & TV;1;1789;1789;0,05;1699,55;Nordeste;Marketplace;Cancelado;PI;1162,85;1162,85;536,7;0,315789474;61;Masculino;50+;28;0;Correios;Boleto;4
369;42968;Headset Gamer Razer BlackShark V2 X;Acessórios;5;1676;8380;0;8380;Nordeste;Online;Cancelado;BA;737,44;3687,2;4692,8;0,56;23;Não Informado;18-29;55;0;Correios;Cartão de Crédito;2
371;43855;Honor Magic 6 Pro;Celulares;8;4548;36384;0,15;30926,4;Nordeste;Loja Física;Cancelado;AL;2592,36;20738,88;10187,52;0,329411765;92;Não Informado;50+;170;0;TransFrete;Boleto;5
383;43249;Samsung Galaxy A35;Celulares;3;4622;13866;0,1;12479,4;Nordeste;Online;Cancelado;BA;2403,44;7210,32;5269,08;0,422222222;22;Feminino;18-29;83;0;TransFrete;Boleto;3
388;44183;Smartwatch Samsung Galaxy Watch 7;Eletrodomésticos & TV;5;4324;21620;0;21620;Norte;Loja Física;Cancelado;AC;1945,8;9729;11891;0,55;27;Feminino;18-29;109;0;Correios;Cartão de Crédito;5
390;45870;Console Asus ROG Ally X;Eletrodomésticos & TV;5;3220;16100;0,1;14490;Nordeste;Marketplace;Cancelado;BA;2093;10465;4025;0,277777778;66;Não Informado;50+;101;0;TransFrete;PIX;5
395;45942;Tablet Lenovo Tab P12;Computadores;2;4341;8682;0,15;7379,7;Norte;Loja Física;Cancelado;AC;1996,86;3993,72;3385,98;0,458823529;49;Não Informado;30-49;172;0;LogTech Express;Boleto;1
401;44049;Notebook HP ProBook 440;Computadores;5;2184;10920;0;10920;Nordeste;Loja Física;Cancelado;CE;1485,12;7425,6;3494,4;0,32;68;Masculino;50+;16;0;LogTech Express;PIX;1
402;45235;Xiaomi Redmi Note 14 Pro;Celulares;7;314;2198;0;2198;Nordeste;Marketplace;Cancelado;MA;182,12;1274,84;923,16;0,42;75;Não Informado;50+;177;0;LogTech Express;Voucher;3
405;43060;MacBook Pro M4;Computadores;5;4421;22105;0,05;20999,75;Norte;Loja Física;Cancelado;TO;1945,24;9726,2;11273,55;0,536842105;93;Feminino;50+;169;0;Correios;Voucher;4
408;45727;Robo Aspirador de Po Xiaomi Robot Vacuum E10;Eletrodomésticos & TV;6;80;480;0,1;432;Nordeste;Marketplace;Cancelado;RN;38,4;230,4;201,6;0,466666667;60;Masculino;50+;168;0;Correios;Voucher;3
410;43770;Carregador Portatil Baseus Power Bank 30000mAh;Acessórios;9;702;6318;0,1;5686,2;Nordeste;Online;Cancelado;AL;358,02;3222,18;2464,02;0,433333333;26;Feminino;18-29;46;0;Correios;Cartão de Crédito;3
413;44779;Samsung Galaxy S24;Celulares;4;1334;5336;0,1;4802,4;Nordeste;Loja Física;Cancelado;PI;867,1;3468,4;1334;0,277777778;34;Feminino;30-49;89;0;LogTech Express;Cartão de Crédito;4
419;43925;Caixa de Som Bluetooth LG XBOOM Go;Eletrodomésticos & TV;7;4338;30366;0,15;25811,1;Nordeste;Marketplace;Cancelado;MA;1865,34;13057,38;12753,72;0,494117647;65;Feminino;50+;153;0;Correios;Voucher;5
426;44843;Controle PS5 DualSense;Eletrodomésticos & TV;6;2704;16224;0,1;14601,6;Norte;Loja Física;Cancelado;RO;1297,92;7787,52;6814,08;0,466666667;55;Não Informado;50+;86;0;Correios;PIX;3
428;43395;Amazon Fire TV Stick Lite;Eletrodomésticos & TV;6;2292;13752;0,05;13064,4;Sul;Marketplace;Cancelado;SC;1283,52;7701,12;5363,28;0,410526316;52;Masculino;50+;132;0;LogTech Express;PIX;4
436;43662;Caixa de Som Portatil Anker Soundcore 2;Eletrodomésticos & TV;7;191;1337;0;1337;Nordeste;Online;Cancelado;MA;91,68;641,76;695,24;0,52;19;Feminino;18-29;37;0;TransFrete;Cartão de Crédito;4
437;42872;Headset Gamer Corsair HS55;Acessórios;4;3529;14116;0,05;13410,2;Norte;Online;Cancelado;AM;1588,05;6352,2;7058;0,526315789;72;Masculino;50+;138;0;Correios;PIX;5
440;44993;Caixa de Som JBL Boombox 3;Eletrodomésticos & TV;5;157;785;0,05;745,75;Sul;Loja Física;Cancelado;RS;89,49;447,45;298,3;0,4;88;Não Informado;50+;53;0;Correios;Voucher;3
451;42802;Smartwatch Amazfit Bip 5;Eletrodomésticos & TV;1;329;329;0,1;296,1;Sudeste;Loja Física;Cancelado;RJ;180,95;180,95;115,15;0,388888889;91;Masculino;50+;87;0;Correios;Cartão de Crédito;1
454;43714;Notebook Gamer Dell G15;Computadores;3;3649;10947;0;10947;Sudeste;Loja Física;Cancelado;MG;1605,56;4816,68;6130,32;0,56;37;Feminino;30-49;116;0;LogTech Express;PIX;5
459;43269;iPhone 16 Pro Max;Celulares;2;2866;5732;0,15;4872,2;Centro-Oeste;Loja Física;Cancelado;MS;1175,06;2350,12;2522,08;0,517647059;67;Feminino;50+;56;0;Correios;PIX;2
467;45093;iPhone 15 Pro;Celulares;2;4823;9646;0,1;8681,4;Sul;Online;Cancelado;PR;1977,43;3954,86;4726,54;0,544444444;45;Não Informado;30-49;16;0;LogTech Express;PIX;1
472;42893;Echodot 5ª Geracao com Alexa;Eletrodomésticos & TV;10;1400;14000;0;14000;Norte;Marketplace;Cancelado;AM;700;7000;7000;0,5;35;Feminino;30-49;132;0;Correios;Boleto;1
473;44047;Samsung Galaxy Tab S10 FE+;Computadores;10;4010;40100;0;40100;Nordeste;Loja Física;Cancelado;PB;2526,3;25263;14837;0,37;70;Feminino;50+;45;0;TransFrete;Voucher;1
476;43231;Fone Lenovo Thinkplus LP40;Acessórios;3;1684;5052;0,05;4799,4;Norte;Marketplace;Cancelado;AC;1094,6;3283,8;1515,6;0,315789474;92;Não Informado;50+;117;0;TransFrete;PIX;2
477;43791;Smartwatch Samsung Galaxy Watch 7;Eletrodomésticos & TV;3;4374;13122;0,15;11153,7;Nordeste;Loja Física;Cancelado;PE;2493,18;7479,54;3674,16;0,329411765;43;Feminino;30-49;65;0;Correios;Cartão de Crédito;1
483;42973;Smart TV Samsung Neo QLED 65;Eletrodomésticos & TV;9;3872;34848;0;34848;Nordeste;Marketplace;Cancelado;MA;1936;17424;17424;0,5;70;Masculino;50+;125;0;TransFrete;PIX;1
488;45429;Realme 13 Pro+;Celulares;10;1082;10820;0,05;10279;Sul;Loja Física;Cancelado;RS;714,12;7141,2;3137,8;0,305263158;53;Feminino;50+;175;0;TransFrete;Cartão de Crédito;3
491;45024;iPad Air M2;Computadores;7;2731;19117;0;19117;Sul;Marketplace;Cancelado;RS;1884,39;13190,73;5926,27;0,31;39;Feminino;30-49;51;0;Correios;PIX;5
494;44458;Monitor ASUS ProArt 27;Computadores;3;4813;14439;0;14439;Nordeste;Online;Cancelado;PI;2935,93;8807,79;5631,21;0,39;89;Feminino;50+;115;0;Correios;Boleto;1
497;43075;Fone Bluetooth JBL Wave Flex;Acessórios;6;1462;8772;0,05;8333,4;Norte;Online;Cancelado;AC;964,92;5789,52;2543,88;0,305263158;79;Masculino;50+;100;0;LogTech Express;PIX;5
501;44930;Xiaomi POCO X7 Pro;Celulares;5;3551;17755;0,15;15091,75;Centro-Oeste;Loja Física;Cancelado;DF;1597,95;7989,75;7102;0,470588235;50;Não Informado;50+;152;0;Correios;Cartão de Crédito;1
502;45203;Xiaomi POCO X6 Neo;Celulares;1;1865;1865;0,1;1678,5;Nordeste;Online;Cancelado;CE;1212,25;1212,25;466,25;0,277777778;70;Não Informado;50+;35;0;Correios;Boleto;3
503;44336;Caixa de Som JBL Flip 6;Eletrodomésticos & TV;1;4658;4658;0,1;4192,2;Sudeste;Marketplace;Cancelado;ES;1909,78;1909,78;2282,42;0,544444444;24;Feminino;18-29;45;0;Correios;PIX;2
506;42758;Fritadeira Air Fryer Mondial Family 4L;Eletrodomésticos & TV;3;807;2421;0;2421;Sudeste;Online;Cancelado;SP;492,27;1476,81;944,19;0,39;53;Não Informado;50+;90;0;TransFrete;PIX;4
507;42775;Console PlayStation 5 Slim;Eletrodomésticos & TV;2;4538;9076;0,05;8622,2;Sul;Marketplace;Cancelado;PR;2132,86;4265,72;4356,48;0,505263158;95;Feminino;50+;98;0;TransFrete;PIX;4
513;45070;Apple TV 4K 64GB;Eletrodomésticos & TV;6;4132;24792;0;24792;Centro-Oeste;Online;Cancelado;MT;2107,32;12643,92;12148,08;0,49;77;Feminino;50+;162;0;Correios;Voucher;4
516;44281;Amazon Fire TV Stick 4K;Eletrodomésticos & TV;10;4935;49350;0,1;44415;Centro-Oeste;Online;Cancelado;MT;2270,1;22701;21714;0,488888889;57;Não Informado;50+;116;0;Correios;Cartão de Crédito;1
