ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente;Ano_de_Venda
160;45691;OnePlus 13R;Celulares;6;3215;19290;0,1;17361;Nordeste;Marketplace;Em trânsito;RN;1607,5;9645;7716;0,444444444;87;Não Informado;50+;44;19;LogTech Express;Boleto;4;2025
169;45916;Xiaomi Pad 5;Celulares;3;3495;10485;0,05;9960,75;Centro-Oeste;Marketplace;Em trânsito;DF;2062,05;6186,15;3774,6;0,378947368;45;Feminino;30-49;139;3;TransFrete;PIX;2;2025
171;45962;Fechadura Digital Intelbras FR 101;Eletrodomésticos & TV;7;601;4207;0,15;3575,95;Norte;Loja Física;Entregue;AM;288,48;2019,36;1556,59;0,435294118;82;Feminino;50+;116;16;LogTech Express;Boleto;4;2025
175;45909;Echo Pop com Alexa;Eletrodomésticos & TV;2;4809;9618;0,1;8656,2;Nordeste;Online;Entregue;CE;2693,04;5386,08;3270,12;0,377777778;44;Masculino;30-49;83;8;Correios;Boleto;4;2025
176;45737;Pilha Recarregavel Duracell AAA;Eletrodomésticos & TV;1;1885;1885;0,15;1602,25;Norte;Online;Cancelado;PA;904,8;904,8;697,45;0,435294118;72;Feminino;50+;16;0;TransFrete;Voucher;1;2025
190;45812;Smartwatch Haylou Solar Lite;Eletrodomésticos & TV;3;1078;3234;0,1;2910,6;Nordeste;Marketplace;Entregue;AL;495,88;1487,64;1422,96;0,488888889;67;Não Informado;50+;31;22;TransFrete;Cartão de Crédito;2;2025
195;45732;Cabo Lightning Baseus;Acessórios;6;2156;12936;0,15;10995,6;Sudeste;Marketplace;Em trânsito;RJ;1013,32;6079,92;4915,68;0,447058824;27;Masculino;18-29;94;4;TransFrete;Boleto;2;2025
196;45866;Carregador de Pilhas Sony com 4 Pilhas;Eletrodomésticos & TV;4;1112;4448;0,15;3780,8;Sul;Marketplace;Entregue;SC;656,08;2624,32;1156,48;0,305882353;80;Feminino;50+;142;18;Correios;PIX;5;2025
198;45775;Notebook Gamer ASUS TUF A15;Computadores;10;3564;35640;0,15;30294;Nordeste;Marketplace;Entregue;MA;1461,24;14612,4;15681,6;0,517647059;71;Masculino;50+;29;4;TransFrete;PIX;3;2025
216;45807;Xiaomi Redmi Note 12;Celulares;3;2386;7158;0,15;6084,3;Nordeste;Online;Em trânsito;PE;1025,98;3077,94;3006,36;0,494117647;56;Não Informado;50+;117;21;LogTech Express;Cartão de Crédito;4;2025
220;45759;Teclado e Mouse Sem Fio Dell KM3322W;Acessórios;1;4320;4320;0,15;3672;Nordeste;Loja Física;Em trânsito;SE;1987,2;1987,2;1684,8;0,458823529;51;Masculino;50+;113;15;Correios;Cartão de Crédito;5;2025
227;45963;iPhone 15 Pro Max;Celulares;10;4873;48730;0,1;43857;Nordeste;Loja Física;Em trânsito;SE;2387,77;23877,7;19979,3;0,455555556;35;Não Informado;30-49;42;19;Correios;Cartão de Crédito;4;2025
254;45735;Fechadura Digital Yale YRD 256;Eletrodomésticos & TV;9;1862;16758;0;16758;Nordeste;Online;Cancelado;PB;782,04;7038,36;9719,64;0,58;24;Feminino;18-29;122;0;Correios;PIX;3;2025
258;45850;Realme Note 50;Celulares;10;1268;12680;0,1;11412;Sul;Marketplace;Em trânsito;RS;583,28;5832,8;5579,2;0,488888889;84;Não Informado;50+;46;18;Correios;Boleto;1;2025
266;45724;Smart TV Samsung Neo QLED 65;Eletrodomésticos & TV;1;3969;3969;0,15;3373,65;Sul;Online;Entregue;SC;2302,02;2302,02;1071,63;0,317647059;32;Não Informado;30-49;82;25;Correios;Voucher;4;2025
304;45676;Nothing Phone (2a);Celulares;6;3323;19938;0;19938;Norte;Online;Entregue;AP;2126,72;12760,32;7177,68;0,36;60;Masculino;50+;75;12;TransFrete;PIX;3;2025
305;45742;iPhone 14 128GB;Celulares;6;929;5574;0,15;4737,9;Sudeste;Loja Física;Em trânsito;SP;464,5;2787;1950,9;0,411764706;54;Masculino;50+;90;21;Correios;PIX;3;2025
315;45989;Carregador Portatil Baseus Power Bank 30000mAh;Acessórios;2;3308;6616;0,1;5954,4;Norte;Loja Física;Entregue;RR;2216,36;4432,72;1521,68;0,255555556;46;Feminino;30-49;27;15;LogTech Express;Voucher;1;2025
324;46013;Notebook Gamer ASUS TUF A15;Computadores;7;567;3969;0;3969;Centro-Oeste;Loja Física;Entregue;MS;374,22;2619,54;1349,46;0,34;73;Masculino;50+;175;20;Correios;Boleto;4;2025
340;45823;SSD Kingston NV2 1TB;Computadores;3;2654;7962;0,15;6767,7;Nordeste;Online;Entregue;CE;1247,38;3742,14;3025,56;0,447058824;86;Não Informado;50+;177;8;LogTech Express;Boleto;2;2025
346;45756;Smartwatch Amazfit Bip 5;Eletrodomésticos & TV;8;4837;38696;0,15;32891,6;Nordeste;Marketplace;Em trânsito;AL;3144,05;25152,4;7739,2;0,235294118;64;Feminino;50+;141;9;Correios;PIX;2;2025
355;45720;Asus ROG Phone 9;Celulares;9;2634;23706;0,15;20150,1;Nordeste;Online;Entregue;MA;1369,68;12327,12;7822,98;0,388235294;60;Feminino;50+;128;11;TransFrete;Boleto;2;2025
368;45858;Console Lenovo Legion Go;Eletrodomésticos & TV;1;1789;1789;0,05;1699,55;Nordeste;Marketplace;Cancelado;PI;1162,85;1162,85;536,7;0,315789474;61;Masculino;50+;28;0;Correios;Boleto;4;2025
390;45870;Console Asus ROG Ally X;Eletrodomésticos & TV;5;3220;16100;0,1;14490;Nordeste;Marketplace;Cancelado;BA;2093;10465;4025;0,277777778;66;Não Informado;50+;101;0;TransFrete;PIX;5;2025
395;45942;Tablet Lenovo Tab P12;Computadores;2;4341;8682;0,15;7379,7;Norte;Loja Física;Cancelado;AC;1996,86;3993,72;3385,98;0,458823529;49;Não Informado;30-49;172;0;LogTech Express;Boleto;1;2025
397;45727;Amazon Fire TV Stick 4K;Eletrodomésticos & TV;3;4233;12699;0,15;10794,15;Sudeste;Loja Física;Entregue;SP;2624,46;7873,38;2920,77;0,270588235;38;Masculino;30-49;97;6;TransFrete;PIX;1;2025
403;45772;Fone Xiaomi Redmi Buds 5 Pro;Acessórios;9;1304;11736;0,15;9975,6;Nordeste;Loja Física;Entregue;AL;808,48;7276,32;2699,28;0,270588235;85;Masculino;50+;117;11;TransFrete;PIX;5;2025
408;45727;Robo Aspirador de Po Xiaomi Robot Vacuum E10;Eletrodomésticos & TV;6;80;480;0,1;432;Nordeste;Marketplace;Cancelado;RN;38,4;230,4;201,6;0,466666667;60;Masculino;50+;168;0;Correios;Voucher;3;2025
411;45747;Nothing Phone (2a);Celulares;2;2437;4874;0,15;4142,9;Norte;Online;Entregue;TO;1121,02;2242,04;1900,86;0,458823529;83;Feminino;50+;24;15;Correios;Boleto;4;2025
414;45675;Filtro de Linha iClamper Energia 5;Acessórios;6;2453;14718;0;14718;Centro-Oeste;Loja Física;Entregue;MT;1643,51;9861,06;4856,94;0,33;59;Não Informado;50+;74;15;TransFrete;Voucher;5;2025
429;45885;Processador AMD Ryzen 7 5700X;Computadores;3;189;567;0;567;Norte;Online;Entregue;RO;117,18;351,54;215,46;0,38;54;Masculino;50+;28;22;LogTech Express;PIX;1;2025
447;46011;Robo Aspirador de Po Liectroux XR500;Eletrodomésticos & TV;1;1464;1464;0;1464;Norte;Online;Entregue;PA;966,24;966,24;497,76;0,34;55;Feminino;50+;26;13;LogTech Express;Boleto;3;2025
449;45821;Tablet Lenovo Tab P12;Computadores;5;4700;23500;0,05;22325;Sudeste;Loja Física;Entregue;RJ;1974;9870;12455;0,557894737;86;Feminino;50+;175;12;TransFrete;Boleto;4;2025
463;45931;iPhone 16 Pro Max;Celulares;7;1287;9009;0,05;8558,55;Nordeste;Online;Entregue;BA;643,5;4504,5;4054,05;0,473684211;23;Masculino;18-29;48;9;Correios;Cartão de Crédito;1;2025
495;45900;Fone QCY T13 TWS;Acessórios;3;431;1293;0;1293;Norte;Online;Entregue;PA;267,22;801,66;491,34;0,38;32;Não Informado;30-49;86;18;TransFrete;Boleto;5;2025
505;45984;iPhone SE 4;Celulares;7;1281;8967;0,15;7621,95;Nordeste;Online;Entregue;PI;666,12;4662,84;2959,11;0,388235294;20;Masculino;18-29;39;3;LogTech Express;Boleto;2;2025
520;45826;Apple AirPods Pro 2;Acessórios;6;126;756;0,1;680,4;Nordeste;Online;Em trânsito;RN;68,04;408,24;272,16;0,4;54;Feminino;50+;28;21;TransFrete;Boleto;4;2025
526;45943;Smart TV LG NanoCell 65;Eletrodomésticos & TV;5;2107;10535;0,05;10008,25;Nordeste;Marketplace;Entregue;CE;1116,71;5583,55;4424,7;0,442105263;19;Feminino;18-29;176;14;LogTech Express;PIX;4;2025
527;45851;Headphone Sony WH-1000XM5;Acessórios;1;3981;3981;0,15;3383,85;Nordeste;Online;Entregue;MA;2547,84;2547,84;836,01;0,247058824;63;Feminino;50+;103;18;Correios;Cartão de Crédito;1;2025
543;45822;Console PlayStation 5 Slim;Eletrodomésticos & TV;8;2249;17992;0,05;17092,4;Nordeste;Online;Cancelado;BA;922,09;7376,72;9715,68;0,568421053;38;Masculino;30-49;78;0;LogTech Express;PIX;5;2025
545;45669;Tablet Lenovo Tab P12;Computadores;8;4382;35056;0,1;31550,4;Sul;Marketplace;Entregue;PR;1971,9;15775,2;15775,2;0,5;48;Não Informado;30-49;74;19;Correios;PIX;3;2025
554;45774;Placa de Video RTX 4070 Super;Computadores;10;4601;46010;0,15;39108,5;Nordeste;Marketplace;Cancelado;PB;2438,53;24385,3;14723,2;0,376470588;86;Não Informado;50+;113;0;LogTech Express;PIX;5;2025
572;45772;Monitor Gamer AOC Hero 27;Computadores;4;2150;8600;0;8600;Centro-Oeste;Loja Física;Cancelado;GO;1268,5;5074;3526;0,41;81;Feminino;50+;36;0;Correios;Voucher;5;2025
579;45836;Samsung Galaxy A56 5G;Celulares;10;2538;25380;0,15;21573;Centro-Oeste;Online;Entregue;DF;1243,62;12436,2;9136,8;0,423529412;95;Masculino;50+;106;2;LogTech Express;PIX;1;2025
580;45876;Mouse Gamer Logitech G203;Acessórios;4;1943;7772;0,1;6994,8;Sul;Loja Física;Cancelado;RS;1029,79;4119,16;2875,64;0,411111111;90;Feminino;50+;139;0;TransFrete;Boleto;3;2025
606;45882;Liquidificador Philips Walita ProBlend 6;Eletrodomésticos & TV;3;1370;4110;0,1;3699;Nordeste;Loja Física;Entregue;PI;575,4;1726,2;1972,8;0,533333333;66;Feminino;50+;31;12;LogTech Express;Boleto;5;2025
607;45671;Notebook HP 256 G9;Computadores;5;3707;18535;0;18535;Nordeste;Marketplace;Entregue;BA;2483,69;12418,45;6116,55;0,33;62;Masculino;50+;91;8;TransFrete;Voucher;1;2025
617;45753;Controle Xbox Wireless Carbon Black;Eletrodomésticos & TV;2;654;1308;0,05;1242,6;Sudeste;Loja Física;Entregue;SP;444,72;889,44;353,16;0,284210526;24;Não Informado;18-29;153;10;Correios;Cartão de Crédito;1;2025
627;45991;Caixa de Som JBL Boombox 3;Eletrodomésticos & TV;5;3652;18260;0,05;17347;Centro-Oeste;Marketplace;Cancelado;GO;2300,76;11503,8;5843,2;0,336842105;23;Não Informado;18-29;37;0;LogTech Express;PIX;3;2025
629;45985;Notebook Gamer Dell G15;Computadores;10;4262;42620;0;42620;Norte;Marketplace;Em trânsito;AP;2983,4;29834;12786;0,3;19;Feminino;18-29;75;24;Correios;PIX;2;2025
637;45769;Headset Gamer Razer BlackShark V2 X;Acessórios;8;3534;28272;0;28272;Centro-Oeste;Online;Em trânsito;MT;1837,68;14701,44;13570,56;0,48;44;Feminino;30-49;88;3;Correios;Voucher;3;2025
644;45755;Smart TV Xiaomi TV A Pro 55;Eletrodomésticos & TV;10;4807;48070;0,1;43263;Norte;Online;Em trânsito;TO;3028,41;30284,1;12978,9;0,3;32;Feminino;30-49;86;19;Correios;Cartão de Crédito;4;2025
648;45830;Smart TV TCL QLED 55;Eletrodomésticos & TV;8;1696;13568;0;13568;Norte;Loja Física;Em trânsito;TO;831,04;6648,32;6919,68;0,51;37;Não Informado;30-49;114;3;TransFrete;PIX;5;2025
666;45846;Xiaomi Redmi A3;Celulares;4;607;2428;0,05;2306,6;Sudeste;Loja Física;Entregue;SP;358,13;1432,52;874,08;0,378947368;35;Masculino;30-49;24;9;Correios;PIX;4;2025
682;45818;Fechadura Digital Yale YRD 256;Eletrodomésticos & TV;4;2459;9836;0;9836;Centro-Oeste;Loja Física;Cancelado;DF;1278,68;5114,72;4721,28;0,48;62;Feminino;50+;148;0;TransFrete;PIX;5;2025
686;45673;Amazon Fire TV Stick Lite;Eletrodomésticos & TV;1;50;50;0;50;Nordeste;Online;Entregue;PI;21,5;21,5;28,5;0,57;35;Masculino;30-49;135;24;TransFrete;PIX;5;2025
687;46017;Soundbar LG S40Q;Eletrodomésticos & TV;2;117;234;0,1;210,6;Norte;Loja Física;Entregue;PA;78,39;156,78;53,82;0,255555556;79;Feminino;50+;66;12;TransFrete;Cartão de Crédito;2;2025
693;45978;Headphone Sony WH-1000XM5;Acessórios;1;2907;2907;0,1;2616,3;Norte;Marketplace;Entregue;AM;1511,64;1511,64;1104,66;0,422222222;32;Não Informado;30-49;163;24;LogTech Express;Cartão de Crédito;4;2025
707;46015;Xiaomi POCO F6;Celulares;4;1324;5296;0,1;4766,4;Centro-Oeste;Marketplace;Cancelado;MS;556,08;2224,32;2542,08;0,533333333;45;Não Informado;30-49;71;0;TransFrete;PIX;1;2025
710;45726;Amazon Kindle 11ª Geracao;Computadores;1;2016;2016;0,1;1814,4;Norte;Online;Entregue;AM;1290,24;1290,24;524,16;0,288888889;81;Masculino;50+;84;22;Correios;Voucher;4;2025
716;45752;Mouse Logitech Pebble M350;Acessórios;1;1947;1947;0,15;1654,95;Nordeste;Online;Entregue;MA;817,74;817,74;837,21;0,505882353;18;Masculino;18-29;173;23;TransFrete;Boleto;4;2025
736;45934;MacBook Air M2;Computadores;1;1914;1914;0;1914;Norte;Marketplace;Em trânsito;TO;1090,98;1090,98;823,02;0,43;28;Masculino;18-29;153;19;TransFrete;Voucher;5;2025
741;45934;Placa de Video RTX 4070 Super;Computadores;10;3119;31190;0,05;29630,5;Sudeste;Marketplace;Cancelado;SP;1715,45;17154,5;12476;0,421052632;67;Masculino;50+;162;0;TransFrete;Cartão de Crédito;3;2025
744;45699;Headphone Sony WH-1000XM5;Acessórios;2;1225;2450;0,15;2082,5;Nordeste;Loja Física;Em trânsito;MA;686;1372;710,5;0,341176471;19;Masculino;18-29;72;6;TransFrete;PIX;2;2025
747;45788;SSD Crucial T500 4TB;Computadores;8;4659;37272;0,05;35408,4;Norte;Marketplace;Entregue;AP;2795,4;22363,2;13045,2;0,368421053;79;Feminino;50+;168;20;Correios;PIX;2;2025
756;45780;Echo Show 5 com Alexa;Eletrodomésticos & TV;4;4521;18084;0,15;15371,4;Sul;Loja Física;Cancelado;SC;2034,45;8137,8;7233,6;0,470588235;42;Não Informado;30-49;38;0;LogTech Express;PIX;5;2025
762;45721;iPhone 16 Pro Max;Celulares;5;2343;11715;0,15;9957,75;Norte;Loja Física;Em trânsito;RO;1452,66;7263,3;2694,45;0,270588235;79;Masculino;50+;70;3;LogTech Express;Boleto;5;2025
769;45954;Realme Note 50;Celulares;5;1092;5460;0,15;4641;Centro-Oeste;Marketplace;Cancelado;MS;578,76;2893,8;1747,2;0,376470588;53;Masculino;50+;76;0;Correios;PIX;5;2025
772;45892;Infinix Hot 40i;Celulares;6;3064;18384;0,1;16545,6;Nordeste;Loja Física;Em trânsito;BA;1532;9192;7353,6;0,444444444;26;Masculino;18-29;116;4;TransFrete;Voucher;4;2025
775;45784;Monitor Gamer AOC Hero 27;Computadores;9;4453;40077;0;40077;Centro-Oeste;Marketplace;Cancelado;MS;2003,85;18034,65;22042,35;0,55;92;Masculino;50+;21;0;Correios;Boleto;1;2025
777;45862;iPhone 15 Pro;Celulares;5;3169;15845;0,05;15052,75;Norte;Marketplace;Entregue;RR;1584,5;7922,5;7130,25;0,473684211;70;Masculino;50+;77;7;TransFrete;Cartão de Crédito;3;2025
790;45834;Fone Philips TAT1108 TWS;Acessórios;8;3677;29416;0,1;26474,4;Sul;Loja Física;Cancelado;PR;1470,8;11766,4;14708;0,555555556;72;Não Informado;50+;52;0;TransFrete;Voucher;2;2025
795;45913;Camera de Seguranca Intelbras IM3;Eletrodomésticos & TV;2;507;1014;0,15;861,9;Sul;Loja Física;Cancelado;SC;243,36;486,72;375,18;0,435294118;25;Feminino;18-29;142;0;LogTech Express;Voucher;3;2025
801;45922;Smart TV Samsung Crystal UHD 50;Eletrodomésticos & TV;1;59;59;0,15;50,15;Nordeste;Loja Física;Em trânsito;SE;23,6;23,6;26,55;0,529411765;36;Não Informado;30-49;28;12;Correios;PIX;3;2025
832;45815;Caixa de Som JBL Essential 2;Eletrodomésticos & TV;8;2205;17640;0,1;15876;Norte;Online;Entregue;PA;1124,55;8996,4;6879,6;0,433333333;87;Feminino;50+;163;15;LogTech Express;PIX;1;2025
837;45815;iPhone SE 4;Celulares;5;4344;21720;0;21720;Sul;Online;Em trânsito;RS;1998,24;9991,2;11728,8;0,54;51;Masculino;50+;152;18;TransFrete;Cartão de Crédito;3;2025
839;45683;Carregador Sem Fio Anker Magnetic 3-in-1;Acessórios;9;3483;31347;0,1;28212,3;Nordeste;Online;Em trânsito;PE;2089,8;18808,2;9404,1;0,333333333;21;Não Informado;18-29;135;10;TransFrete;Boleto;3;2025
841;45674;Motorola Moto G85;Celulares;8;1076;8608;0,1;7747,2;Nordeste;Marketplace;Entregue;RN;710,16;5681,28;2065,92;0,266666667;18;Masculino;18-29;160;3;Correios;Cartão de Crédito;2;2025
860;45833;Placa de Video RTX 4060 Ti;Computadores;5;1775;8875;0,1;7987,5;Sudeste;Marketplace;Em trânsito;SP;781;3905;4082,5;0,511111111;88;Feminino;50+;112;14;LogTech Express;PIX;1;2025
862;45683;Placa de Video RTX 4071 Super;Computadores;4;1978;7912;0,05;7516,4;Norte;Online;Entregue;AC;1008,78;4035,12;3481,28;0,463157895;43;Não Informado;30-49;174;24;Correios;Cartão de Crédito;1;2025
865;45675;Smartwatch Huawei Band 9;Eletrodomésticos & TV;2;3958;7916;0,1;7124,4;Nordeste;Marketplace;Entregue;BA;1860,26;3720,52;3403,88;0,477777778;47;Não Informado;30-49;103;12;Correios;Boleto;1;2025
882;45697;Smart TV AOC Roku 43;Eletrodomésticos & TV;1;3970;3970;0,05;3771,5;Centro-Oeste;Loja Física;Em trânsito;DF;2342,3;2342,3;1429,2;0,378947368;27;Não Informado;18-29;20;3;TransFrete;Cartão de Crédito;1;2025
909;45663;Console PlayStation 5 Slim;Eletrodomésticos & TV;10;2296;22960;0,05;21812;Centro-Oeste;Loja Física;Entregue;MT;1079,12;10791,2;11020,8;0,505263158;47;Masculino;30-49;119;3;LogTech Express;PIX;1;2025
914;45723;Placa de Video RTX 4060 Ti;Computadores;5;4302;21510;0,15;18283,5;Nordeste;Loja Física;Em trânsito;PE;1892,88;9464,4;8819,1;0,482352941;28;Feminino;18-29;71;21;Correios;Voucher;3;2025
940;45730;Motorola Moto G54;Celulares;10;2670;26700;0;26700;Sudeste;Online;Entregue;SP;1441,8;14418;12282;0,46;40;Feminino;30-49;28;13;LogTech Express;Cartão de Crédito;4;2025
944;45840;Teclado Mecanico Redragon Kumara;Acessórios;9;2669;24021;0;24021;Norte;Online;Cancelado;PA;1174,36;10569,24;13451,76;0,56;40;Feminino;30-49;94;0;Correios;PIX;3;2025
951;45991;Headset Gamer Razer BlackShark V2 X;Acessórios;10;3661;36610;0;36610;Norte;Marketplace;Entregue;RR;2159,99;21599,9;15010,1;0,41;58;Masculino;50+;129;22;Correios;PIX;4;2025
968;45750;Mouse Sem Fio Logitech M280;Acessórios;10;1747;17470;0,15;14849,5;Nordeste;Marketplace;Em trânsito;AL;960,85;9608,5;5241;0,352941176;92;Feminino;50+;37;12;TransFrete;Cartão de Crédito;2;2025
974;45743;Google Chromecast com Google TV 4K;Eletrodomésticos & TV;4;3860;15440;0,05;14668;Norte;Marketplace;Cancelado;RR;2547,6;10190,4;4477,6;0,305263158;93;Feminino;50+;73;0;TransFrete;PIX;5;2025
1005;45934;Smartwatch Apple Watch Series 10;Eletrodomésticos & TV;7;2255;15785;0,1;14206,5;Norte;Marketplace;Cancelado;TO;1555,95;10891,65;3314,85;0,233333333;62;Feminino;50+;143;0;Correios;PIX;2;2025
1007;45957;Samsung Galaxy S26 Ultra;Celulares;8;1559;12472;0;12472;Norte;Loja Física;Entregue;TO;950,99;7607,92;4864,08;0,39;70;Masculino;50+;35;4;Correios;Boleto;1;2025
1008;45673;Camera de Seguranca TP-Link Tapo C200;Eletrodomésticos & TV;4;1896;7584;0;7584;Nordeste;Marketplace;Em trânsito;PI;948;3792;3792;0,5;83;Masculino;50+;83;24;TransFrete;Cartão de Crédito;5;2025
1012;45661;SSD Kingston NV2 1TB;Computadores;4;3930;15720;0,15;13362;Nordeste;Marketplace;Entregue;BA;2593,8;10375,2;2986,8;0,223529412;38;Masculino;30-49;172;21;LogTech Express;Boleto;2;2025
1017;45894;Xiaomi POCO X7 Pro;Celulares;2;1783;3566;0,05;3387,7;Norte;Online;Entregue;AP;713,2;1426,4;1961,3;0,578947368;91;Masculino;50+;35;19;LogTech Express;Cartão de Crédito;4;2025
1024;45882;Smartwatch Apple Watch Series 10;Eletrodomésticos & TV;7;2210;15470;0,1;13923;Centro-Oeste;Online;Cancelado;MS;1215,5;8508,5;5414,5;0,388888889;53;Feminino;50+;42;0;LogTech Express;Voucher;4;2025
1047;45741;Fechadura Eletronica de Embutir Papaiz;Eletrodomésticos & TV;7;3649;25543;0,15;21711,55;Nordeste;Online;Em trânsito;AL;1860,99;13026,93;8684,62;0,4;34;Não Informado;30-49;94;25;LogTech Express;Voucher;3;2025
1048;45697;Realme C67;Celulares;7;2436;17052;0,15;14494,2;Sul;Marketplace;Cancelado;RS;1193,64;8355,48;6138,72;0,423529412;44;Masculino;30-49;174;0;LogTech Express;Voucher;5;2025
1061;45769;Amazon Kindle Paperwhite 16GB;Computadores;10;2502;25020;0,1;22518;Nordeste;Loja Física;Entregue;AL;1301,04;13010,4;9507,6;0,422222222;34;Não Informado;30-49;121;24;Correios;Boleto;2;2025
1066;45738;Placa de Video RX 7600 XT;Computadores;3;406;1218;0;1218;Centro-Oeste;Loja Física;Entregue;MS;207,06;621,18;596,82;0,49;85;Masculino;50+;64;12;LogTech Express;Voucher;5;2025
1072;45849;Fone Lenovo Thinkplus LP40;Acessórios;5;4674;23370;0,15;19864,5;Sul;Marketplace;Entregue;RS;2991,36;14956,8;4907,7;0,247058824;28;Não Informado;18-29;118;6;LogTech Express;Voucher;5;2025
1075;45907;Xiaomi Redmi Note 13;Celulares;9;1027;9243;0,05;8780,85;Sul;Loja Física;Cancelado;RS;554,58;4991,22;3789,63;0,431578947;62;Feminino;50+;109;0;Correios;PIX;2;2025
