Classificação_Lucro;Auditoria_De_Frete;Verificação_De_Entrega;Comissões;Classificação_Demográfica
Lucratividade Normal;Frete OK;Pendente;86,963;Jovem
Alta Lucratividade;Frete OK;8;247,68;Adulto
Alta Lucratividade;Frete OK;Pendente;416,976;Jovem
Lucratividade Normal;Frete OK;15;195,852;Adulto
Alta Lucratividade;Frete OK;Pendente;425,79;Jovem
Lucratividade Normal;Auditar Frete;Pendente;31,35;Adulto
Alta Lucratividade;Frete OK;Pendente;862,98;Adulto
Lucratividade Normal;Frete OK;8;78,71;Adulto
Lucratividade Normal;Frete OK;20;109,44;Adulto
Lucratividade Normal;Frete OK;Pendente;121,686;Adulto
Alta Lucratividade;Frete OK;Pendente;654,74;Adulto
Lucratividade Normal;Auditar Frete;Pendente;5,04;Adulto
Lucratividade Normal;Frete OK;Pendente;77,25;Jovem
Lucratividade Normal;Frete OK;Pendente;73,44;Adulto
Alta Lucratividade;Frete OK;14;2255,5;Adulto
Lucratividade Normal;Frete OK;Pendente;61,598;Adulto
Alta Lucratividade;Frete OK;Pendente;900,45;Adulto
Alta Lucratividade;Frete OK;Pendente;457,929;Jovem
Lucratividade Normal;Frete OK;Pendente;148,732;Adulto
Lucratividade Normal;Frete OK;13;239,49;Adulto
Alta Lucratividade;Frete OK;Pendente;877,14;Adulto
Lucratividade Normal;Auditar Frete;2;68,238;Adulto
Lucratividade Normal;Frete OK;Pendente;184,41;Jovem
Lucratividade Normal;Frete OK;7;120,528;Adulto
Lucratividade Normal;Frete OK;23;58,86;Adulto
Lucratividade Normal;Frete OK;Pendente;197,136;Adulto
Alta Lucratividade;Frete OK;21;353,115;Adulto
Alta Lucratividade;Frete OK;Pendente;261,915;Adulto
Alta Lucratividade;Frete OK;Pendente;566,523;Jovem
Lucratividade Normal;Frete OK;23;310,992;Adulto
Alta Lucratividade;Frete OK;Pendente;1985,6;Adulto
Lucratividade Normal;Frete OK;Pendente;114,75;Adulto
Alta Lucratividade;Frete OK;Pendente;1576;Adulto
Alta Lucratividade;Frete OK;22;297,704;Adulto
Lucratividade Normal;Frete OK;Pendente;495,4;Adulto
Lucratividade Normal;Frete OK;12;108,642;Jovem
Alta Lucratividade;Frete OK;Pendente;281,724;Adulto
Lucratividade Normal;Frete OK;Pendente;50,292;Jovem
Lucratividade Normal;Frete OK;20;235,756;Adulto
Lucratividade Normal;Frete OK;14;50,456;Adulto
Lucratividade Normal;Frete OK;Pendente;126,1;Adulto
Lucratividade Normal;Frete OK;Pendente;126,4;Adulto
Alta Lucratividade;Frete OK;16;334,656;Adulto
Lucratividade Normal;Frete OK;4;74,088;Adulto
Alta Lucratividade;Frete OK;Pendente;497,448;Adulto
Lucratividade Normal;Frete OK;Pendente;234,7;Adulto
Lucratividade Normal;Auditar Frete;12;7,11;Adulto
Alta Lucratividade;Frete OK;Pendente;837,9;Jovem
Lucratividade Normal;Frete OK;13;188,892;Adulto
Lucratividade Normal;Auditar Frete;20;29,85;Adulto
Alta Lucratividade;Frete OK;4;520,45;Adulto
Alta Lucratividade;Frete OK;Pendente;228,24;Adulto
Lucratividade Normal;Frete OK;Pendente;45,144;Adulto
Alta Lucratividade;Frete OK;13;690,992;Adulto
Lucratividade Normal;Frete OK;17;140,8;Adulto
Lucratividade Normal;Frete OK;Pendente;198,576;Adulto
Lucratividade Normal;Frete OK;8;247,968;Jovem
Alta Lucratividade;Frete OK;9;2398;Adulto
Lucratividade Normal;Auditar Frete;23;1,989;Jovem
Lucratividade Normal;Frete OK;25;67,473;Adulto
Alta Lucratividade;Frete OK;15;741,2;Adulto
Lucratividade Normal;Auditar Frete;Pendente;30,158;Adulto
Alta Lucratividade;Frete OK;18;454,8;Adulto
Alta Lucratividade;Frete OK;7;1998;Adulto
Lucratividade Normal;Frete OK;12;122,349;Adulto
Alta Lucratividade;Frete OK;Pendente;303,96;Adulto
Lucratividade Normal;Auditar Frete;16;15,742;Adulto
Alta Lucratividade;Frete OK;17;353,495;Adulto
Lucratividade Normal;Auditar Frete;Pendente;48,366;Adulto
Lucratividade Normal;Frete OK;Pendente;112,472;Adulto
Alta Lucratividade;Frete OK;Pendente;222,264;Adulto
Lucratividade Normal;Frete OK;2;102,408;Adulto
Alta Lucratividade;Frete OK;21;403,37;Adulto
Lucratividade Normal;Auditar Frete;Pendente;50,635;Adulto
Lucratividade Normal;Frete OK;Pendente;120,312;Adulto
Alta Lucratividade;Frete OK;Pendente;498,708;Adulto
Alta Lucratividade;Frete OK;Pendente;951,6;Adulto
Lucratividade Normal;Frete OK;Pendente;53,2;Adulto
Lucratividade Normal;Frete OK;Pendente;159,984;Adulto
Alta Lucratividade;Frete OK;21;698,139;Adulto
Lucratividade Normal;Frete OK;Pendente;264,24;Adulto
Alta Lucratividade;Frete OK;20;719,4;Adulto
Lucratividade Normal;Auditar Frete;Pendente;104,1;Adulto
Lucratividade Normal;Frete OK;13;166,2;Adulto
Lucratividade Normal;Frete OK;23;78,863;Adulto
Lucratividade Normal;Frete OK;17;188,496;Jovem
Alta Lucratividade;Frete OK;Pendente;465,804;Adulto
Lucratividade Normal;Frete OK;12;189,2;Adulto
Lucratividade Normal;Frete OK;Pendente;76,494;Adulto
Lucratividade Normal;Frete OK;Pendente;53,465;Adulto
Lucratividade Normal;Frete OK;21;101;Jovem
Lucratividade Normal;Frete OK;17;114,624;Adulto
Lucratividade Normal;Frete OK;Pendente;186,624;Adulto
Lucratividade Normal;Auditar Frete;Pendente;52,5;Adulto
Lucratividade Normal;Auditar Frete;11;46,7;Adulto
Lucratividade Normal;Auditar Frete;Pendente;9,639;Adulto
Lucratividade Normal;Frete OK;9;340,7;Jovem
Alta Lucratividade;Frete OK;12;996,9;Adulto
Lucratividade Normal;Frete OK;Pendente;94,758;Adulto
Lucratividade Normal;Frete OK;21;119,966;Adulto
Lucratividade Normal;Frete OK;3;174,25;Adulto
Alta Lucratividade;Frete OK;25;310,59;Adulto
Lucratividade Normal;Frete OK;Pendente;133,236;Jovem
Lucratividade Normal;Frete OK;13;178,524;Adulto
Lucratividade Normal;Auditar Frete;Pendente;105,6;Jovem
Lucratividade Normal;Frete OK;Pendente;55,062;Adulto
Lucratividade Normal;Frete OK;Pendente;204,953;Adulto
Lucratividade Normal;Frete OK;Pendente;181,5;Adulto
Lucratividade Normal;Frete OK;15;119,088;Adulto
Alta Lucratividade;Frete OK;Pendente;329,365;Adulto
Alta Lucratividade;Frete OK;22;1391,85;Adulto
Lucratividade Normal;Frete OK;Pendente;75,514;Jovem
Alta Lucratividade;Frete OK;Pendente;443,556;Adulto
Lucratividade Normal;Frete OK;8;90,666;Adulto
Lucratividade Normal;Frete OK;13;219,735;Adulto
Lucratividade Normal;Frete OK;21;284,012;Adulto
Lucratividade Normal;Frete OK;3;97,784;Adulto
Lucratividade Normal;Frete OK;20;198,45;Adulto
Alta Lucratividade;Frete OK;20;1745,1;Adulto
Alta Lucratividade;Frete OK;Pendente;360,72;Adulto
Alta Lucratividade;Frete OK;Pendente;1246,95;Adulto
Lucratividade Normal;Frete OK;Pendente;26,28;Adulto
Alta Lucratividade;Frete OK;Pendente;333,412;Adulto
Lucratividade Normal;Auditar Frete;Pendente;11,826;Adulto
Alta Lucratividade;Frete OK;Pendente;1069,75;Adulto
Alta Lucratividade;Frete OK;2;1396,85;Adulto
Alta Lucratividade;Frete OK;15;892,62;Jovem
Lucratividade Normal;Auditar Frete;Pendente;50,813;Adulto
Lucratividade Normal;Frete OK;2;112,67;Jovem
Lucratividade Normal;Frete OK;24;106,2;Jovem
Lucratividade Normal;Frete OK;Pendente;135,66;Jovem
Alta Lucratividade;Frete OK;2;1023,6;Adulto
Lucratividade Normal;Frete OK;Pendente;67,317;Adulto
Lucratividade Normal;Frete OK;8;135,354;Adulto
Alta Lucratividade;Frete OK;Pendente;1451,8;Adulto
Lucratividade Normal;Auditar Frete;Pendente;13,005;Adulto
Alta Lucratividade;Frete OK;Pendente;670,928;Adulto
Lucratividade Normal;Frete OK;Pendente;105,315;Adulto
Lucratividade Normal;Auditar Frete;18;71,3;Adulto
Alta Lucratividade;Frete OK;Pendente;657,832;Adulto
Lucratividade Normal;Frete OK;12;176,776;Adulto
Lucratividade Normal;Frete OK;10;244,25;Adulto
Lucratividade Normal;Frete OK;25;70,395;Adulto
Alta Lucratividade;Frete OK;2;271,225;Adulto
Alta Lucratividade;Frete OK;Pendente;440,99;Adulto
Lucratividade Normal;Auditar Frete;Pendente;44,154;Adulto
Lucratividade Normal;Frete OK;Pendente;136,656;Adulto
Lucratividade Normal;Frete OK;Pendente;158,004;Adulto
Alta Lucratividade;Frete OK;11;403,002;Adulto
Lucratividade Normal;Auditar Frete;Pendente;8,942;Adulto
Lucratividade Normal;Frete OK;9;163,88;Adulto
Lucratividade Normal;Frete OK;Pendente;168,732;Adulto
Alta Lucratividade;Frete OK;Pendente;717,984;Adulto
Lucratividade Normal;Frete OK;Pendente;48,374;Adulto
Alta Lucratividade;Frete OK;Pendente;622,54;Adulto
Lucratividade Normal;Auditar Frete;Pendente;17,95;Adulto
Lucratividade Normal;Frete OK;24;57,798;Adulto
Lucratividade Normal;Auditar Frete;Pendente;65,5;Jovem
Lucratividade Normal;Frete OK;Pendente;272,425;Adulto
Alta Lucratividade;Frete OK;Pendente;1717,5;Adulto
Alta Lucratividade;Frete OK;Pendente;381,42;Adulto
Lucratividade Normal;Frete OK;Pendente;33,991;Adulto
Lucratividade Normal;Frete OK;Pendente;419;Jovem
Lucratividade Normal;Frete OK;20;166,896;Jovem
Alta Lucratividade;Frete OK;Pendente;618,528;Adulto
Alta Lucratividade;Frete OK;Pendente;376,312;Adulto
Lucratividade Normal;Frete OK;Pendente;317,73;Adulto
Lucratividade Normal;Auditar Frete;7;22,032;Adulto
Lucratividade Normal;Frete OK;5;138,282;Adulto
Alta Lucratividade;Frete OK;21;1528,8;Adulto
Lucratividade Normal;Frete OK;Pendente;376,95;Adulto
Lucratividade Normal;Frete OK;14;55,944;Adulto
Alta Lucratividade;Frete OK;20;510,867;Jovem
Lucratividade Normal;Auditar Frete;15;11,704;Adulto
Alta Lucratividade;Frete OK;19;337,62;Adulto
Lucratividade Normal;Frete OK;14;178,56;Adulto
Alta Lucratividade;Frete OK;Pendente;249,588;Jovem
Alta Lucratividade;Frete OK;12;638,4;Adulto
Lucratividade Normal;Frete OK;Pendente;252,9;Jovem
Alta Lucratividade;Frete OK;12;1753;Adulto
Lucratividade Normal;Frete OK;3;167,178;Adulto
Alta Lucratividade;Frete OK;Pendente;1081;Jovem
Lucratividade Normal;Frete OK;6;447,3;Adulto
Lucratividade Normal;Frete OK;Pendente;289,8;Adulto
Lucratividade Normal;Frete OK;Pendente;171,5;Adulto
Alta Lucratividade;Frete OK;18;715,25;Jovem
Lucratividade Normal;Frete OK;12;126,939;Adulto
Alta Lucratividade;Frete OK;22;400,554;Adulto
Lucratividade Normal;Frete OK;Pendente;147,594;Adulto
Lucratividade Normal;Auditar Frete;8;26,619;Adulto
Lucratividade Normal;Frete OK;6;215,883;Adulto
Alta Lucratividade;Frete OK;Pendente;413,497;Adulto
Lucratividade Normal;Frete OK;Pendente;132,624;Jovem
Alta Lucratividade;Frete OK;9;760,266;Adulto
Lucratividade Normal;Frete OK;Pendente;546;Adulto
Lucratividade Normal;Auditar Frete;Pendente;109,9;Adulto
Lucratividade Normal;Frete OK;11;199,512;Adulto
Alta Lucratividade;Frete OK;8;1725,15;Adulto
Alta Lucratividade;Frete OK;Pendente;419,995;Adulto
Lucratividade Normal;Frete OK;5;157,176;Adulto
Alta Lucratividade;Frete OK;10;1456,8;Adulto
Lucratividade Normal;Auditar Frete;Pendente;8,64;Adulto
Lucratividade Normal;Auditar Frete;23;62,5;Adulto
Lucratividade Normal;Frete OK;Pendente;113,724;Jovem
Lucratividade Normal;Frete OK;15;82,858;Adulto
Lucratividade Normal;Frete OK;13;288;Jovem
Lucratividade Normal;Frete OK;Pendente;96,048;Adulto
Lucratividade Normal;Frete OK;15;735,9;Adulto
Lucratividade Normal;Frete OK;Pendente;77,724;Adulto
Lucratividade Normal;Frete OK;Pendente;152,208;Jovem
Lucratividade Normal;Frete OK;Pendente;125,604;Adulto
Alta Lucratividade;Frete OK;24;487,35;Adulto
Alta Lucratividade;Frete OK;Pendente;516,222;Adulto
Lucratividade Normal;Frete OK;17;72,45;Adulto
Lucratividade Normal;Frete OK;Pendente;105,468;Jovem
Lucratividade Normal;Frete OK;Pendente;130,492;Adulto
Lucratividade Normal;Auditar Frete;21;52,003;Jovem
Lucratividade Normal;Frete OK;24;85,476;Adulto
Lucratividade Normal;Frete OK;Pendente;555,45;Adulto
Alta Lucratividade;Frete OK;Pendente;292,032;Adulto
Lucratividade Normal;Frete OK;9;152,66;Jovem
Alta Lucratividade;Frete OK;Pendente;261,288;Adulto
Lucratividade Normal;Frete OK;22;28,35;Adulto
Lucratividade Normal;Frete OK;6;90,984;Adulto
Lucratividade Normal;Auditar Frete;12;31,046;Adulto
Alta Lucratividade;Frete OK;24;405,45;Adulto
Alta Lucratividade;Frete OK;20;276,066;Adulto
Lucratividade Normal;Frete OK;4;226,368;Adulto
Alta Lucratividade;Frete OK;7;716,85;Jovem
Lucratividade Normal;Frete OK;Pendente;66,85;Jovem
Alta Lucratividade;Frete OK;Pendente;268,204;Adulto
Alta Lucratividade;Frete OK;6;718,74;Adulto
Alta Lucratividade;Frete OK;22;180,918;Adulto
Lucratividade Normal;Auditar Frete;Pendente;14,915;Adulto
Lucratividade Normal;Frete OK;19;69,309;Adulto
Alta Lucratividade;Frete OK;13;283,104;Adulto
Alta Lucratividade;Frete OK;6;695,952;Adulto
Lucratividade Normal;Frete OK;7;189,516;Jovem
Lucratividade Normal;Frete OK;11;141,491;Adulto
Alta Lucratividade;Frete OK;15;515,7;Adulto
Lucratividade Normal;Frete OK;13;73,2;Adulto
Lucratividade Normal;Frete OK;Pendente;111,852;Adulto
Alta Lucratividade;Frete OK;12;446,5;Adulto
Lucratividade Normal;Frete OK;13;46,75;Adulto
Lucratividade Normal;Auditar Frete;Pendente;5,922;Adulto
Alta Lucratividade;Frete OK;12;1245,9;Adulto
Lucratividade Normal;Frete OK;15;158,94;Adulto
Alta Lucratividade;Frete OK;Pendente;547,35;Adulto
Lucratividade Normal;Frete OK;7;50,898;Adulto
Alta Lucratividade;Frete OK;10;613,19;Adulto
Lucratividade Normal;Frete OK;10;327,75;Adulto
Lucratividade Normal;Frete OK;Pendente;12,122;Adulto
Lucratividade Normal;Frete OK;Pendente;97,444;Adulto
Lucratividade Normal;Frete OK;24;85,31;Adulto
Alta Lucratividade;Frete OK;Pendente;412,3;Adulto
Lucratividade Normal;Frete OK;11;259,236;Adulto
Lucratividade Normal;Frete OK;9;171,171;Jovem
Lucratividade Normal;Auditar Frete;11;54,432;Adulto
Alta Lucratividade;Frete OK;Pendente;935,56;Adulto
Lucratividade Normal;Auditar Frete;Pendente;16,02;Adulto
Lucratividade Normal;Frete OK;Pendente;173,628;Adulto
Alta Lucratividade;Frete OK;12;439,416;Adulto
Lucratividade Normal;Frete OK;Pendente;35,904;Adulto
Lucratividade Normal;Auditar Frete;9;20,33;Adulto
Lucratividade Normal;Frete OK;Pendente;472,5;Adulto
Alta Lucratividade;Frete OK;Pendente;700;Adulto
Alta Lucratividade;Frete OK;Pendente;2005;Adulto
Alta Lucratividade;Frete OK;Pendente;766,746;Adulto
Lucratividade Normal;Frete OK;Pendente;44,64;Adulto
Lucratividade Normal;Frete OK;Pendente;95,988;Adulto
Lucratividade Normal;Frete OK;Pendente;223,074;Adulto
Lucratividade Normal;Frete OK;23;133,62;Adulto
Alta Lucratividade;Frete OK;7;358,088;Adulto
Alta Lucratividade;Frete OK;4;237,816;Adulto
Lucratividade Normal;Frete OK;2;263,112;Adulto
Alta Lucratividade;Frete OK;11;2394,5;Adulto
Alta Lucratividade;Frete OK;Pendente;1742,4;Adulto
